ticket;classe;tipo_operacao;data_operacao;qtd;valor_cota;valor_total;mes;ano;fonte_recurso
MXRF11;FII;Compra;12/08/2022;6;R$ 9,91;R$ 59,46;8;2022;Aporte
MXRF11;FII;Compra;31/08/2022;10;R$ 10,31;R$ 103,10;8;2022;Aporte
MXRF11;FII;Compra;15/09/2022;6;R$ 10,22;R$ 61,32;9;2022;Aporte
MXRF11;FII;Compra;04/10/2022;20;R$ 10,27;R$ 205,40;10;2022;Aporte
MXRF11;FII;Compra;14/10/2022;8;R$ 10,27;R$ 82,16;10;2022;Aporte
MXRF11;FII;Compra;17/10/2022;50;R$ 10,26;R$ 513,00;10;2022;Aporte
MXRF11;FII;Compra;19/10/2022;1;R$ 10,25;R$ 10,25;10;2022;Aporte
MXRF11;FII;Compra;16/11/2022;1;R$ 10,18;R$ 10,18;11;2022;Aporte
MXRF11;FII;Compra;20/12/2022;8;R$ 9,85;R$ 78,80;12;2022;Aporte
MXRF11;FII;Compra;20/12/2022;3;R$ 9,90;R$ 29,70;12;2022;Aporte
VSLH11;FII;Compra;10/01/2023;13;R$ 8,90;R$ 115,70;1;2023;Aporte
VSLH11;FII;Compra;13/01/2023;7;R$ 8,89;R$ 62,23;1;2023;Aporte
VSLH11;FII;Compra;18/01/2023;6;R$ 8,80;R$ 52,80;1;2023;Aporte
JSRE11;FII;Compra;31/01/2023;1;R$ 64,67;R$ 64,67;1;2023;Aporte
ALZR11;FII;Compra;02/02/2023;2;R$ 112,98;R$ 225,96;2;2023;Aporte
BTLG11;FII;Compra;02/02/2023;2;R$ 94,51;R$ 189,02;2;2023;Aporte
HGLG11;FII;Compra;02/02/2023;2;R$ 161,99;R$ 323,98;2;2023;Aporte
HSML11;FII;Compra;02/02/2023;2;R$ 79,20;R$ 158,40;2;2023;Aporte
HSML11;FII;Compra;02/02/2023;7;R$ 79,04;R$ 553,28;2;2023;Aporte
HSML11;FII;Compra;02/02/2023;1;R$ 79,12;R$ 79,12;2;2023;Aporte
IRDM11;FII;Compra;02/02/2023;10;R$ 90,98;R$ 909,80;2;2023;Aporte
JSRE11;FII;Compra;02/02/2023;5;R$ 64,42;R$ 322,10;2;2023;Aporte
KNRI11;FII;Compra;02/02/2023;2;R$ 136,90;R$ 273,80;2;2023;Aporte
MALL11;FII;Compra;02/02/2023;2;R$ 101,87;R$ 203,74;2;2023;Aporte
MXRF11;FII;Compra;02/02/2023;7;R$ 10,08;R$ 70,56;2;2023;Aporte
VSLH11;FII;Compra;02/02/2023;24;R$ 7,41;R$ 177,84;2;2023;Aporte
XPLG11;FII;Compra;02/02/2023;8;R$ 91,04;R$ 728,32;2;2023;Aporte
XPLG11;FII;Compra;02/02/2023;2;R$ 91,02;R$ 182,04;2;2023;Aporte
HGLG11;FII;Compra;07/02/2023;8;R$ 161,71;R$ 1.293,68;2;2023;Aporte
BTLG11;FII;Compra;16/02/2023;1;R$ 93,45;R$ 93,45;2;2023;Aporte
BODB11;FII-Infra;Compra;28/02/2023;3;R$ 9,86;R$ 29,58;2;2023;Aporte
BODB11;FII-Infra;Compra;07/03/2023;1;R$ 9,53;R$ 9,53;3;2023;Aporte
VINO11;FII;Compra;07/03/2023;2;R$ 43,78;R$ 87,56;3;2023;Aporte
AMAR3;A��o;Compra;30/10/2023;7;R$ 2,63;R$ 18,41;10;2023;Aporte
ALZR11;FII;Compra;14/03/2023;3;R$ 113,18;R$ 339,54;3;2023;Aporte
BODB11;FII-Infra;Compra;14/03/2023;16;R$ 9,52;R$ 152,32;3;2023;Aporte
BRCR11;FII;Compra;14/03/2023;10;R$ 50,68;R$ 506,80;3;2023;Aporte
BTLG11;FII;Compra;14/03/2023;2;R$ 95,34;R$ 190,68;3;2023;Aporte
JURO11;FII-Infra;Compra;14/03/2023;5;R$ 99,18;R$ 495,90;3;2023;Aporte
KDIF11;FII-Infra;Compra;14/03/2023;1;R$ 125,99;R$ 125,99;3;2023;Aporte
KDIF11;FII-Infra;Compra;14/03/2023;4;R$ 125,98;R$ 503,92;3;2023;Aporte
KNCR11;FII;Compra;14/03/2023;5;R$ 98,14;R$ 490,70;3;2023;Aporte
KNRI11;FII;Compra;14/03/2023;5;R$ 137,44;R$ 687,20;3;2023;Aporte
MALL11;FII;Compra;14/03/2023;3;R$ 99,31;R$ 297,93;3;2023;Aporte
RECR11;FII;Compra;14/03/2023;5;R$ 81,50;R$ 407,50;3;2023;Aporte
RECT11;FII;Compra;14/03/2023;5;R$ 51,00;R$ 255,00;3;2023;Aporte
VINO11;FII;Compra;14/03/2023;8;R$ 41,89;R$ 335,12;3;2023;Aporte
XPML11;FII;Compra;14/03/2023;5;R$ 99,46;R$ 497,30;3;2023;Aporte
JSRE11;FII;Compra;15/03/2023;4;R$ 62,35;R$ 249,40;3;2023;Aporte
MXRF11;FII;Compra;15/03/2023;30;R$ 10,28;R$ 308,40;3;2023;Aporte
BBAS3;A��o;Compra;16/03/2023;1;R$ 38,07;R$ 38,07;3;2023;Aporte
BBSE3;A��o;Compra;16/03/2023;1;R$ 33,02;R$ 33,02;3;2023;Aporte
CMIG3;A��o;Compra;16/03/2023;1;R$ 15,77;R$ 15,77;3;2023;Aporte
CSAN3;A��o;Compra;16/03/2023;1;R$ 14,17;R$ 14,17;3;2023;Aporte
GGBR4;A��o;Compra;16/03/2023;1;R$ 25,55;R$ 25,55;3;2023;Aporte
ITSA4;A��o;Compra;16/03/2023;1;R$ 7,98;R$ 7,98;3;2023;Aporte
